sample_no,id,eriophyoids,p_fructiphilus,other_mites,total_mites,rose_spp,symptoms,grams_dry_weight,shade,rrv,city,state,county,lon,lat,lon_lat,collector,date,month,year,notes
32,4L mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
33,4F mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
34,5LA mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
35,5LB mrd,0,No,0,0,Rl,No,NA,NA,No,Tallahassee,FL,NA,-84.276859,30.496187,"-84.276859, 30.496187",Derrick Conover,2017-03-17T00:00:00Z,March,2017,NA
36,1LAuga,3,Yes,0,3,KO,Yes,NA,NA,Yes,Athens,GA,NA,-83.376944,33.953889,"-83.376944, 33.953889",Derrick Conover,2017-04-18T00:00:00Z,April,2017,NA
37,1LBuga,4,Yes,0,4,KO,Yes,NA,NA,Yes,Athens,GA,NA,-83.376945,33.953889,"-83.376945, 33.953889",Derrick Conover,2017-04-18T00:00:00Z,April,2017,NA
38,2Luga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-18T00:00:00Z,April,2017,NA
39,2LAuga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-18T00:00:00Z,April,2017,NA
40,2Fuga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-18T00:00:00Z,April,2017,NA
41,3Luga,2,Yes,0,2,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-18T00:00:00Z,April,2017,NA
42,3LAuga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-18T00:00:00Z,April,2017,NA
43,3Lbuga,1,Yes,0,1,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-18T00:00:00Z,April,2017,NA
44,4Luga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-18T00:00:00Z,April,2017,NA
45,6Luga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-24T00:00:00Z,April,2017,NA
46,6LAuga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-24T00:00:00Z,April,2017,NA
47,7LAuga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-24T00:00:00Z,April,2017,NA
48,6LBUGA,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-24T00:00:00Z,April,2017,NA
49,5Luga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-25T00:00:00Z,April,2017,NA
50,5LaAuga,0,No,0,0,RM,No,NA,NA,No,Athens,GA,NA,-83.367407,33.954548,"-83.367407, 33.954548",Derrick Conover,2017-04-25T00:00:00Z,April,2017,NA
51,GFNL1,2,Yes,0,2,KO,Yes,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
52,GFNF1,1,Yes,0,1,KO,Yes,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
53,GFN2L,1,Yes,0,1,KO,No,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
54,GFNF2,0,No,0,0,KO,No,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
55,GFNF4,0,No,0,0,KO,Yes,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
56,GFNL4,1,Yes,0,1,KO,Yes,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
57,GFNF5,0,No,0,0,KO,No,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
58,GFNL5,0,No,0,0,KO,No,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
59,GFNL3,0,No,0,0,Drift,No,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
60,GFNF3,0,No,0,0,Drift,No,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
61,GFNF6,0,No,0,0,Drift,Yes,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
62,GFN6L,0,No,0,0,Drift,Yes,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
63,GFNF7,0,No,0,0,Drift,Yes,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
64,GFNL7,0,No,0,0,Drift,Yes,NA,NA,Yes,East Griffin,GA,NA,-84.285321,33.262423,"-84.285321, 33.262423",Derrick Conover,2017-05-18T00:00:00Z,May,2017,NA
65,APK L,0,No,0,0,KO,Yes,NA,NA,Yes,South Apopka,FL,NA,-81.506149,28.640823,"-81.506149, 28.640823",Derrick Conover,2017-06-01T00:00:00Z,June,2017,NA
66,APK LA,0,No,0,0,KO,Yes,NA,NA,Yes,South Apopka,FL,NA,-81.506149,28.640823,"-81.506149, 28.640823",Derrick Conover,2017-06-01T00:00:00Z,June,2017,NA
67,APK LB,0,No,0,0,KO,Yes,NA,NA,Yes,South Apopka,FL,NA,-81.506149,28.640823,"-81.506149, 28.640823",Derrick Conover,2017-06-01T00:00:00Z,June,2017,NA
68,APK F,0,No,0,0,KO,Yes,NA,NA,Yes,South Apopka,FL,NA,-81.506149,28.640823,"-81.506149, 28.640823",Derrick Conover,2017-06-01T00:00:00Z,June,2017,NA
69,APK FA,0,No,0,0,KO,Yes,NA,NA,Yes,South Apopka,FL,NA,-81.506149,28.640823,"-81.506149, 28.640823",Derrick Conover,2017-06-01T00:00:00Z,June,2017,NA
70,Fife 1,NA,NA,NA,NA,NA,No,NA,NA,NT,Tallahassee,FL,NA,-84.302334,30.443888,"-84.302334, 30.443888",Austin Fife,2018-08-26T00:00:00Z,August,2018,NA
71,Fife 2,NA,NA,NA,NA,NA,No,NA,NA,NT,Tallahassee,FL,NA,-84.296439,30.444611,"-84.296439, 30.444611",Austin Fife,2018-08-26T00:00:00Z,August,2018,NA
72,Fife 3,NA,NA,NA,NA,NA,No,NA,NA,NT,Tallahassee,FL,NA,-84.294903,30.44435,"-84.294903, 30.44435",Austin Fife,2018-08-26T00:00:00Z,August,2018,NA
73,Fife 4,NA,NA,NA,NA,NA,No,NA,NA,NT,Tallahassee,FL,NA,-84.294417,30.441965,"-84.294417, 30.441965",Austin Fife,2018-08-26T00:00:00Z,August,2018,NA
74,Fife 5,NA,NA,NA,NA,NA,No,NA,NA,NT,Tallahassee,FL,NA,-84.29487,30.441563,"-84.29487, 30.441563",Austin Fife,2018-08-26T00:00:00Z,August,2018,NA
75,Fife 6,NA,NA,NA,NA,NA,No,NA,NA,NT,Tallahassee,FL,NA,-84.295998,30.439927,"-84.295998, 30.439927",Austin Fife,2018-08-26T00:00:00Z,August,2018,NA
76,Fife 7,NA,NA,NA,NA,NA,No,NA,NA,NT,Tallahassee,FL,NA,-84.299448,30.439583,"-84.299448, 30.439583",Austin Fife,2018-08-26T00:00:00Z,August,2018,NA
77,Fife 8,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-84.306948,30.444908,"-84.306948, 30.444908",Austin Fife,2018-08-26T00:00:00Z,August,2018,NA
78,Fife 9,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.957895,30.837888,"-83.957895, 30.837888",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
79,Fife 10,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.962756,30.835668,"-83.962756, 30.835668",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
80,Fife 11,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.964335,30.835692,"-83.964335, 30.835692",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
81,Fife 12,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.965824,30.835324,"-83.965824, 30.835324",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
82,Fife 13,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.972002,30.843127,"-83.972002, 30.843127",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
83,Fife 14,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.971461,30.843464,"-83.971461, 30.843464",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
84,Fife 15,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.966502,30.844639,"-83.966502, 30.844639",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
85,Fife 16,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.965411,30.844346,"-83.965411, 30.844346",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
86,Fife 17,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.966904,30.841769,"-83.966904, 30.841769",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
87,Fife 18,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.974466,30.842633,"-83.974466, 30.842633",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
88,Fife 19,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.982567,30.832758,"-83.982567, 30.832758",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
89,Fife 20,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.982132000000007,30.833072,"-83.982132, 30.833072",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
90,Fife 21,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,Thomas,-83.971552,30.8435,"-83.971552, 30.8435",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
91,Fife 22,NA,NA,NA,NA,NA,No,NA,NA,NT,Thomasville,GA,NA,-83.949951,30.858414,"-83.949951, 30.858414",Austin Fife,2018-08-27T00:00:00Z,August,2018,NA
92,Fife 23,NA,NA,NA,NA,NA,No,NA,NA,NT,Miccosukee,FL,NA,-84.038997,30.594064,"-84.038997, 30.594064",Austin Fife,2018-09-03T00:00:00Z,September,2018,NA
93,Fife 24,NA,NA,NA,NA,NA,No,NA,NA,NT,Havana,FL,NA,-84.415464,30.624643,"-84.415464, 30.624643",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
94,Fife 25,NA,NA,NA,NA,NA,No,NA,NA,NT,Havana,FL,NA,-84.41603,30.625952,"-84.41603, 30.625952",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
95,Fife 26,NA,NA,NA,NA,NA,No,NA,NA,NT,Havana,FL,NA,-84.41626,30.624799,"-84.41626, 30.624799",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
96,Fife 27,NA,NA,NA,NA,NA,No,NA,NA,NT,Havana,FL,NA,-84.416445,30.624711,"-84.416445, 30.624711",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
97,Fife 28,NA,NA,NA,NA,NA,No,NA,NA,NT,Havana,FL,NA,-84.415324,30.621627,"-84.415324, 30.621627",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
98,Fife 29,NA,NA,NA,NA,NA,No,NA,NA,NT,Havana,FL,NA,-84.411913,30.626915,"-84.411913, 30.626915",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
99,Fife 30,NA,NA,NA,NA,NA,No,NA,NA,NT,Havana,FL,NA,-84.411914,30.626946,"-84.411914, 30.626946",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
100,Fife 31,NA,NA,NA,NA,NA,No,NA,NA,NT,Havana,FL,NA,-84.412072,30.627551,"-84.412072, 30.627551",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
101,Fife 32,NA,NA,NA,NA,NA,No,NA,NA,NT,Havana,FL,NA,-84.416086,30.632472,"-84.416086, 30.632472",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
102,Fife 33,NA,NA,NA,NA,NA,No,NA,NA,NT,Attapulgus,GA,NA,-84.487173,30.760661,"-84.487173, 30.760661",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
103,Fife 34,NA,NA,NA,NA,NA,No,NA,NA,NT,Attapulgus,GA,NA,-84.487281,30.761199,"-84.487281, 30.761199",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
104,Fife 35,NA,NA,NA,NA,NA,No,NA,NA,NT,Bainbridge,GA,NA,-84.567586,30.897538,"-84.567586, 30.897538",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
105,Fife 36,NA,NA,NA,NA,NA,No,NA,NA,NT,Bainbridge,GA,NA,-84.575979,30.90642,"-84.575979, 30.90642",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
106,Fife 37,NA,NA,NA,NA,NA,No,NA,NA,NT,Bainbridge,GA,NA,-84.576463,30.906571,"-84.576463, 30.906571",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
107,Fife 38,NA,NA,NA,NA,NA,No,NA,NA,NT,Bainbridge,GA,NA,-84.577718,30.906661,"-84.577718, 30.906661",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
108,Fife 39,NA,NA,NA,NA,NA,No,NA,NA,NT,Bainbridge,GA,NA,-84.580087,30.904486,"-84.580087, 30.904486",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
109,Fife 40,NA,NA,NA,NA,NA,No,NA,NA,NT,Bainbridge,GA,NA,-84.589315,30.902827,"-84.589315, 30.902827",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
110,Fife 41,NA,NA,NA,NA,NA,No,NA,NA,NT,Bainbridge,GA,NA,-84.588571,30.898722,"-84.588571, 30.898722",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
111,Fife 42,NA,NA,NA,NA,NA,No,NA,NA,NT,Colquitt,GA,NA,-84.73139,31.170065,"-84.73139, 31.170065",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
112,Fife 43,NA,NA,NA,NA,NA,No,NA,NA,NT,Colquitt,GA,NA,-84.734316,31.169877,"-84.734316, 31.169877",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
113,Fife 44,NA,NA,NA,NA,NA,No,NA,NA,NT,Colquitt,GA,NA,-84.741156,31.171282,"-84.741156, 31.171282",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
114,Fife 45,NA,NA,NA,NA,NA,No,NA,NA,NT,Preston,GA,NA,-84.552884,32.030553,"-84.552884, 32.030553",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
115,Fife 46,NA,NA,NA,NA,NA,No,NA,NA,NT,Butler,GA,NA,-84.242249,32.543492,"-84.242249, 32.543492",Austin Fife,2018-09-10T00:00:00Z,September,2018,NA
116,Fife 47,NA,NA,NA,NA,NA,No,NA,NA,NT,Cordele,GA,NA,-83.753102,31.960078,"-83.753102, 31.960078",Austin Fife,2018-09-13T00:00:00Z,September,2018,NA
117,Fife 48,NA,NA,NA,NA,NA,No,NA,NA,NT,Cairo,GA,NA,-84.208031,30.8747,"-84.208031, 30.8747",Austin Fife,2018-10-01T00:00:00Z,October,2018,NA
118,Fife 49,NA,NA,NA,NA,NA,No,NA,NA,NT,Cairo,GA,NA,-84.206363,30.879652,"-84.206363, 30.879652",Austin Fife,2018-10-01T00:00:00Z,October,2018,NA
119,Fife 50,NA,NA,NA,NA,NA,No,NA,NA,NT,Cairo,GA,NA,-84.208371,30.879238,"-84.208371, 30.879238",Austin Fife,2018-10-01T00:00:00Z,October,2018,NA
120,Fife 51,NA,NA,NA,NA,NA,No,NA,NA,NT,Camilla,GA,NA,-84.08969,31.072618,"-84.08969, 31.072618",Austin Fife,2018-10-01T00:00:00Z,October,2018,NA
121,Fife 52,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.292889,33.262949,"-84.292889, 33.262949",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
122,Fife 53,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.29202,33.263002,"-84.29202, 33.263002",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
123,Fife 54,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.292868,33.263045,"-84.292868, 33.263045",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
124,Fife 55,NA,NA,NA,NA,NA,Yes,NA,NA,NT,East Griffin,GA,NA,-84.292892,33.263128,"-84.292892, 33.263128",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
125,Fife 56,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.292903,33.263106,"-84.292903, 33.263106",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
126,Fife 58,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,Spalding,-84.292805,33.26,"-84.292805, 33.26",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
127,Fife 59,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,Spalding,-84.292804,33.263129,"-84.292804, 33.263129",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
128,Fife 60,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,Spalding,-84.292783,33.263137,"-84.292783, 33.263137",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
129,Fife 63,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,Spalding,-84.292775,33.263116,"-84.292775, 33.263116",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
130,Fife 64,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,Spalding,-84.292735,33.263053,"-84.292735, 33.263053",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
131,Fife 65,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,Spalding,-84.292715,33.263006,"-84.292715, 33.263006",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
132,Fife 66,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.292699,33.262927,"-84.292699, 33.262927",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
133,Fife 68,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.292485,33.26,"-84.292485, 33.26",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
134,Fife 69,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.292662000000007,33.263371,"-84.292662, 33.263371",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
135,Fife 70,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.292666,33.263328,"-84.292666, 33.263328",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
136,Fife 71,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.292741,33.263141,"-84.292741, 33.263141",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
137,Fife 72,NA,NA,NA,NA,NA,NA,NA,NA,NT,East Griffin,GA,NA,-84.292874,33.263062,"-84.292874, 33.263062",Austin Fife,2018-10-02T00:00:00Z,October,2018,NA
138,James 101,0,No,0,0,KO,NA,NA,NA,NT,Quincy,FL,NA,-84.59516,30.54276,"-84.59516, 30.54276",James Brannin,2019-02-13T00:00:00Z,February,2019,NA
