sample_no,id,date,other_mites,eriophyoids,p_fructiphilus,rose_spp,symptoms,rrv,city,state,county,grams_dry_weight,collector,shade,notes,SourceFile,DateTimeOriginal,lat,lon,lon_lat
305,Pheno 11,2020-03-31T00:00:00Z,0,15,NA,KO,No,NA,Tallahassee,FL,Leon,1.4696,Austin Fife,open sun,NA,./11-2020-03-31-10-26-05.jpg,2020:03:31 10:26:05,-84.3069608333333,30.4449919444444,30.4449919444444 -84.3069608333333
306,Pheno 12,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,16.0834,Austin Fife,open sun,NA,./12-2020-03-31-10-26-21.jpg,2020:03:31 10:26:21,-84.3070058333333,30.44499,30.44499 -84.3070058333333
307,Pheno 13,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,6.5886,Austin Fife,open sun,NA,./13-2020-03-31-10-26-35.jpg,2020:03:31 10:26:35,-84.3068969444444,30.4449738888889,30.4449738888889 -84.3068969444444
308,Pheno 14,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,9.842,Austin Fife,open sun,NA,./14-2020-03-31-10-26-52.jpg,2020:03:31 10:26:52,-84.3068938888889,30.44497,30.44497 -84.3068938888889
309,Pheno 15,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,5.7875,Austin Fife,open sun,NA,./15-2020-03-31-10-41-56.jpg,2020:03:31 10:41:56,-84.3072008333333,30.4447538888889,30.4447538888889 -84.3072008333333
310,Pheno 16,2020-03-31T00:00:00Z,2,39,NA,KO,No,NA,Tallahassee,FL,Leon,6.7564,Austin Fife,open sun,NA,./16-2020-03-31-10-42-25.jpg,2020:03:31 10:42:25,-84.3071988888889,30.444735,30.444735 -84.3071988888889
311,Pheno 17,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,16.4817,Austin Fife,open sun,NA,./17-2020-03-31-10-42-35.jpg,2020:03:31 10:42:35,-84.3071927777778,30.4447288888889,30.4447288888889 -84.3071927777778
312,Pheno 18,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,7.6008,Austin Fife,open sun,NA,./18-2020-03-31-10-42-48.jpg,2020:03:31 10:42:48,-84.3071838888889,30.4447147222222,30.4447147222222 -84.3071838888889
313,Pheno 19,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,10.2334,Austin Fife,open sun,NA,./19-2020-03-31-10-42-58.jpg,2020:03:31 10:42:58,-84.3071869444444,30.4447119444444,30.4447119444444 -84.3071869444444
314,Pheno 20,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,3.9683,Austin Fife,open sun,NA,./20-2020-03-31-10-43-09.jpg,2020:03:31 10:43:09,-84.3071919444444,30.4447127777778,30.4447127777778 -84.3071919444444
315,Pheno 21,2020-03-31T00:00:00Z,5,15,NA,KO,No,NA,Tallahassee,FL,Leon,8.8051,Austin Fife,open sun,NA,./21-2020-03-31-10-43-19.jpg,2020:03:31 10:43:19,-84.3072069444444,30.4447119444444,30.4447119444444 -84.3072069444444
316,Pheno 22,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,0.703,Austin Fife,open sun,NA,./22-2020-03-31-10-43-29.jpg,2020:03:31 10:43:29,-84.3072227777778,30.4447138888889,30.4447138888889 -84.3072227777778
317,Pheno 23,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,4.8921,Austin Fife,open sun,NA,./23-2020-03-31-10-43-38.jpg,2020:03:31 10:43:38,-84.3072227777778,30.4447138888889,30.4447138888889 -84.3072227777778
318,Pheno 24,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,3.7679,Austin Fife,open sun,NA,./24-2020-03-31-10-43-48.jpg,2020:03:31 10:43:48,-84.3072288888889,30.4447127777778,30.4447127777778 -84.3072288888889
320,Pheno 1,2020-04-30T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,11.4842,Austin Fife,open sun,NA,./1-2020-04-30-15-45-07.jpg,2020:04:30 15:45:07,-84.30754,30.4452319444444,30.4452319444444 -84.30754
321,Pheno 2,2020-04-30T00:00:00Z,9,6,NA,KO,No,NA,Tallahassee,FL,Leon,15.5613,Austin Fife,open sun,NA,./2-2020-04-30-15-47-53.jpg,2020:04:30 15:47:53,-84.3073238888889,30.4451127777778,30.4451127777778 -84.3073238888889
322,Pheno 3,2020-04-30T00:00:00Z,20,10,NA,KO,No,NA,Tallahassee,FL,Leon,13.314,Austin Fife,open sun,NA,./3-2020-04-30-15-48-12.jpg,2020:04:30 15:48:12,-84.3073427777778,30.4451088888889,30.4451088888889 -84.3073427777778
323,Pheno 4,2020-04-30T00:00:00Z,5,4,NA,KO,No,NA,Tallahassee,FL,Leon,15.9536,Austin Fife,open sun,NA,./4-2020-04-30-15-48-25.jpg,2020:04:30 15:48:25,-84.3073527777778,30.4451158333333,30.4451158333333 -84.3073527777778
324,Pheno 5,2020-04-30T00:00:00Z,13,9,NA,KO,No,NA,Tallahassee,FL,Leon,16.0504,Austin Fife,open sun,NA,./5-2020-04-30-15-48-40.jpg,2020:04:30 15:48:40,-84.3073458333333,30.4451208333333,30.4451208333333 -84.3073458333333
325,Pheno 6,2020-04-30T00:00:00Z,6,3,NA,KO,No,NA,Tallahassee,FL,Leon,11.4122,Austin Fife,open sun,NA,./6-2020-04-30-15-48-52.jpg,2020:04:30 15:48:52,-84.3073297222222,30.445135,30.445135 -84.3073297222222
326,Pheno 7,2020-04-30T00:00:00Z,3,2,NA,KO,No,NA,Tallahassee,FL,Leon,17.2735,Austin Fife,open sun,NA,./7-2020-04-30-15-49-03.jpg,2020:04:30 15:49:03,-84.3073338888889,30.4452119444444,30.4452119444444 -84.3073338888889
327,Pheno 8,2020-04-30T00:00:00Z,0,1,NA,KO,No,NA,Tallahassee,FL,Leon,16.261,Austin Fife,open sun,NA,./8-2020-04-30-15-49-14.jpg,2020:04:30 15:49:14,-84.3073208333333,30.445215,30.445215 -84.3073208333333
328,Pheno 9,2020-04-30T00:00:00Z,4,4,NA,KO,No,NA,Tallahassee,FL,Leon,13.4529,Austin Fife,open sun,NA,./9-2020-04-30-15-49-26.jpg,2020:04:30 15:49:26,-84.3073119444445,30.4452188888889,30.4452188888889 -84.3073119444445
329,Pheno 10,2020-04-30T00:00:00Z,11,10,NA,KO,No,NA,Tallahassee,FL,Leon,12.5978,Austin Fife,open sun,NA,./10-2020-04-30-15-49-39.jpg,2020:04:30 15:49:39,-84.3072827777778,30.4452097222222,30.4452097222222 -84.3072827777778
330,Pheno 11,2020-04-30T00:00:00Z,3,2,NA,KO,No,NA,Tallahassee,FL,Leon,12.4876,Austin Fife,open sun,NA,./11-2020-04-30-16-34-20.jpg,2020:04:30 16:34:20,-84.3070258333333,30.44499,30.44499 -84.3070258333333
331,Pheno 12,2020-04-30T00:00:00Z,8,6,NA,KO,No,NA,Tallahassee,FL,Leon,15.4728,Austin Fife,open sun,NA,./12-2020-04-30-16-34-32.jpg,2020:04:30 16:34:32,-84.3070188888889,30.4449908333333,30.4449908333333 -84.3070188888889
332,Pheno 13,2020-04-30T00:00:00Z,5,5,NA,KO,No,NA,Tallahassee,FL,Leon,17.0986,Austin Fife,open sun,NA,./13-2020-04-30-16-34-49.jpg,2020:04:30 16:34:49,-84.3069869444444,30.4449769444444,30.4449769444444 -84.3069869444444
333,Pheno 14,2020-04-30T00:00:00Z,6,12,NA,KO,No,NA,Tallahassee,FL,Leon,13.7568,Austin Fife,open sun,NA,./14-2020-04-30-16-35-07.jpg,2020:04:30 16:35:07,-84.3069808333333,30.4449688888889,30.4449688888889 -84.3069808333333
334,Pheno 15,2020-04-30T00:00:00Z,9,6,NA,KO,No,NA,Tallahassee,FL,Leon,14.4502,Austin Fife,open sun,NA,./15-2020-04-30-16-54-03.jpg,2020:04:30 16:54:03,-84.3073288888889,30.4446308333333,30.4446308333333 -84.3073288888889
335,Pheno 16,2020-04-30T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,15.782,Austin Fife,open sun,NA,./16-2020-04-30-16-53-48.jpg,2020:04:30 16:53:48,-84.3073397222222,30.4446247222222,30.4446247222222 -84.3073397222222
336,Pheno 17,2020-04-30T00:00:00Z,6,17,NA,KO,No,NA,Tallahassee,FL,Leon,19.0732,Austin Fife,open sun,NA,./17-2020-04-30-16-53-38.jpg,2020:04:30 16:53:38,-84.3073527777778,30.4446208333333,30.4446208333333 -84.3073527777778
337,Pheno 18,2020-04-30T00:00:00Z,15,5,NA,KO,No,NA,Tallahassee,FL,Leon,17.8162,Austin Fife,open sun,NA,./18-2020-04-30-16-53-28.jpg,2020:04:30 16:53:28,-84.3073608333333,30.4446219444444,30.4446219444444 -84.3073608333333
338,Pheno 19,2020-04-30T00:00:00Z,3,5,NA,KO,No,NA,Tallahassee,FL,Leon,16.0834,Austin Fife,open sun,NA,./19-2020-04-30-16-53-19.jpg,2020:04:30 16:53:19,-84.3073658333333,30.44462,30.44462 -84.3073658333333
339,Pheno 20,2020-04-30T00:00:00Z,16,11,NA,KO,No,NA,Tallahassee,FL,Leon,12.8755,Austin Fife,open sun,NA,./20-2020-04-30-16-53-04.jpg,2020:04:30 16:53:04,-84.307383888888893,30.4446158333333,30.4446158333333 -84.3073838888889
340,Pheno 21,2020-04-30T00:00:00Z,11,9,NA,KO,No,NA,Tallahassee,FL,Leon,14.0752,Austin Fife,open sun,NA,./21-2020-04-30-16-52-18.jpg,2020:04:30 16:52:18,-84.3074038888889,30.4446147222222,30.4446147222222 -84.3074038888889
341,Pheno 22,2020-04-30T00:00:00Z,6,31,NA,KO,No,NA,Tallahassee,FL,Leon,9.9879,Austin Fife,open sun,NA,./22-2020-04-30-16-52-09.jpg,2020:04:30 16:52:09,-84.30741,30.4446058333333,30.4446058333333 -84.30741
342,Pheno 23,2020-04-30T00:00:00Z,25,38,NA,KO,No,NA,Tallahassee,FL,Leon,9.1813,Austin Fife,open sun,NA,./23-2020-04-30-16-51-59.jpg,2020:04:30 16:51:59,-84.3074169444444,30.4446027777778,30.4446027777778 -84.3074169444444
343,Pheno 24,2020-04-30T00:00:00Z,7,8,NA,KO,No,NA,Tallahassee,FL,Leon,9.2213,Austin Fife,open sun,NA,./24-2020-04-30-16-51-47.jpg,2020:04:30 16:51:47,-84.3074297222222,30.4445977777778,30.4445977777778 -84.3074297222222
344,Pheno 1,2020-06-01T00:00:00Z,7,3,NA,KO,No,NA,Tallahassee,FL,Leon,6.089,Austin Fife,open sun,NA,./1-2020-06-01-14-36-38.jpg,2020:06:01 14:36:38,-84.3074138888889,30.4450088888889,30.4450088888889 -84.3074138888889
345,Pheno 2,2020-06-01T00:00:00Z,11,3,NA,KO,No,NA,Tallahassee,FL,Leon,5.7875,Austin Fife,open sun,NA,./2-2020-06-01-14-36-58.jpg,2020:06:01 14:36:58,-84.3073758333333,30.4450358333333,30.4450358333333 -84.3073758333333
346,Pheno 3,2020-06-01T00:00:00Z,7,1,NA,KO,No,NA,Tallahassee,FL,Leon,3.8724,Austin Fife,open sun,NA,./3-2020-06-01-14-37-08.jpg,2020:06:01 14:37:08,-84.3073869444444,30.4450747222222,30.4450747222222 -84.3073869444444
347,Pheno 4,2020-06-01T00:00:00Z,0,1,NA,KO,No,NA,Tallahassee,FL,Leon,2.0952,Austin Fife,open sun,NA,./4-2020-06-01-14-37-17.jpg,2020:06:01 14:37:17,-84.3073758333333,30.4450708333333,30.4450708333333 -84.3073758333333
348,Pheno 5,2020-06-01T00:00:00Z,4,5,NA,KO,No,NA,Tallahassee,FL,Leon,7.3128,Austin Fife,open sun,NA,./5-2020-06-01-14-37-28.jpg,2020:06:01 14:37:28,-84.3073688888889,30.4450819444444,30.4450819444444 -84.3073688888889
349,Pheno 6,2020-06-01T00:00:00Z,7,9,NA,KO,No,NA,Tallahassee,FL,Leon,6.7564,Austin Fife,open sun,NA,./6-2020-06-01-14-37-40.jpg,2020:06:01 14:37:40,-84.3073488888889,30.4451258333333,30.4451258333333 -84.3073488888889
350,Pheno 7,2020-06-01T00:00:00Z,1,12,NA,KO,No,NA,Tallahassee,FL,Leon,3.9909,Austin Fife,open sun,NA,./7-2020-06-01-14-37-50.jpg,2020:06:01 14:37:50,-84.307275,30.4451388888889,30.4451388888889 -84.307275
351,Pheno 8,2020-06-01T00:00:00Z,1,12,NA,KO,No,NA,Tallahassee,FL,Leon,3.8647,Austin Fife,open sun,NA,./8-2020-06-01-14-38-00.jpg,2020:06:01 14:38:00,-84.3071547222222,30.4451869444444,30.4451869444444 -84.3071547222222
352,Pheno 9,2020-06-01T00:00:00Z,2,5,NA,KO,No,NA,Tallahassee,FL,Leon,0.703,Austin Fife,open sun,NA,./9-2020-06-01-14-38-10.jpg,2020:06:01 14:38:10,-84.3071038888889,30.4451847222222,30.4451847222222 -84.3071038888889
353,Pheno 10,2020-06-01T00:00:00Z,5,2,NA,KO,No,NA,Tallahassee,FL,Leon,3.7679,Austin Fife,open sun,NA,./10-2020-06-01-14-38-23.jpg,2020:06:01 14:38:23,-84.3070808333333,30.4451677777778,30.4451677777778 -84.3070808333333
354,Pheno 11,2020-06-01T00:00:00Z,2,60,NA,KO,No,NA,Tallahassee,FL,Leon,0.7734,Austin Fife,open sun,NA,./11-2020-06-01-14-39-11.jpg,2020:06:01 14:39:11,-84.306925,30.4450369444444,30.4450369444444 -84.306925
355,Pheno 12,2020-06-01T00:00:00Z,8,94,NA,KO,No,NA,Tallahassee,FL,Leon,0.6403,Austin Fife,open sun,NA,./12-2020-06-01-14-39-22.jpg,2020:06:01 14:39:22,-84.3068327777778,30.4450288888889,30.4450288888889 -84.3068327777778
356,Pheno 13,2020-06-01T00:00:00Z,5,17,NA,KO,No,NA,Tallahassee,FL,Leon,0.1376,Austin Fife,open sun,NA,./13-2020-06-01-14-40-10.jpg,2020:06:01 14:40:10,-84.3069558333333,30.4449088888889,30.4449088888889 -84.3069558333333
357,Pheno 14,2020-06-01T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,1.8757,Austin Fife,open sun,NA,./14-2020-06-01-14-40-24.jpg,2020:06:01 14:40:24,-84.3069658333333,30.4449088888889,30.4449088888889 -84.3069658333333
358,Pheno 15,2020-06-01T00:00:00Z,13,62,NA,KO,No,NA,Tallahassee,FL,Leon,4.2518,Austin Fife,open sun,NA,./15-2020-06-01-14-41-24.jpg,2020:06:01 14:41:24,-84.307105,30.444845,30.444845 -84.307105
359,Pheno 16,2020-06-01T00:00:00Z,2,45,NA,KO,No,NA,Tallahassee,FL,Leon,3.7092,Austin Fife,open sun,NA,./16-2020-06-01-14-41-37.jpg,2020:06:01 14:41:37,-84.3072919444444,30.4446877777778,30.4446877777778 -84.3072919444444
360,Pheno 17,2020-06-01T00:00:00Z,4,124,NA,KO,No,NA,Tallahassee,FL,Leon,3.7346,Austin Fife,open sun,NA,./17-2020-06-01-14-41-48.jpg,2020:06:01 14:41:48,-84.3072869444444,30.4446858333333,30.4446858333333 -84.3072869444444
361,Pheno 18,2020-06-01T00:00:00Z,8,52,NA,KO,No,NA,Tallahassee,FL,Leon,3.3468,Austin Fife,open sun,NA,./18-2020-06-01-14-41-58.jpg,2020:06:01 14:41:58,-84.3072788888889,30.4446788888889,30.4446788888889 -84.3072788888889
362,Pheno 19,2020-06-01T00:00:00Z,3,163,NA,KO,No,NA,Tallahassee,FL,Leon,1.9948,Austin Fife,open sun,NA,./19-2020-06-01-14-42-09.jpg,2020:06:01 14:42:09,-84.3072788888889,30.444675,30.444675 -84.3072788888889
363,Pheno 20,2020-06-01T00:00:00Z,4,57,NA,KO,No,NA,Tallahassee,FL,Leon,4.6074,Austin Fife,open sun,NA,./20-2020-06-01-14-42-21.jpg,2020:06:01 14:42:21,-84.3072769444444,30.4446688888889,30.4446688888889 -84.3072769444444
364,Pheno 21,2020-06-01T00:00:00Z,1,105,NA,KO,No,NA,Tallahassee,FL,Leon,1.65498,Austin Fife,open sun,NA,./21-2020-06-01-14-42-40.jpg,2020:06:01 14:42:40,-84.30736,30.4446569444444,30.4446569444444 -84.30736
365,Pheno 22,2020-06-01T00:00:00Z,1,60,NA,KO,No,NA,Tallahassee,FL,Leon,6.1229,Austin Fife,open sun,NA,./22-2020-06-01-14-42-51.jpg,2020:06:01 14:42:51,-84.3073538888889,30.4446808333333,30.4446808333333 -84.3073538888889
366,Pheno 23,2020-06-01T00:00:00Z,1,469,NA,KO,No,NA,Tallahassee,FL,Leon,4.4304,Austin Fife,open sun,NA,./23-2020-06-01-14-43-05.jpg,2020:06:01 14:43:05,-84.3074619444444,30.4446688888889,30.4446688888889 -84.3074619444444
367,Pheno 24,2020-06-01T00:00:00Z,0,63,NA,KO,No,NA,Tallahassee,FL,Leon,0.9298,Austin Fife,open sun,NA,./24-2020-06-01-14-43-17.jpg,2020:06:01 14:43:17,-84.3074688888889,30.4446608333333,30.4446608333333 -84.3074688888889
368,Pheno 11,2020-06-09T00:00:00Z,4,0,NA,KO,No,NA,Tallahassee,FL,Leon,8.6574,Austin Fife,open sun,NA,NA,NA,NA,NA,NA
369,Pheno 12,2020-06-09T00:00:00Z,1,0,NA,KO,No,NA,Tallahassee,FL,Leon,7.629,Austin Fife,open sun,NA,NA,NA,NA,NA,NA
370,Pheno 13,2020-06-09T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,8.3756,Austin Fife,open sun,NA,NA,NA,NA,NA,NA
371,Pheno 14,2020-06-09T00:00:00Z,3,0,NA,KO,No,NA,Tallahassee,FL,Leon,1.8687,Austin Fife,open sun,NA,NA,NA,NA,NA,NA
390,Pheno 1,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,14.2356,Austin Fife,open sun,NA,./1-2020-08-21-12-43-59.jpg,2020:08:21 12:43:59,NA,NA,NA
391,Pheno 2,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,13.8276,Austin Fife,open sun,NA,./2-2020-08-21-12-44-22.jpg,2020:08:21 12:44:22,NA,NA,NA
392,Pheno 3,2020-08-21T00:00:00Z,1,0,NA,KO,No,NA,Tallahassee,FL,Leon,12.7962,Austin Fife,open sun,NA,./3-2020-08-21-12-44-36.jpg,2020:08:21 12:44:36,NA,NA,NA
393,Pheno 4,2020-08-21T00:00:00Z,2,0,NA,KO,No,NA,Tallahassee,FL,Leon,14.8548,Austin Fife,open sun,NA,./4-2020-08-21-12-44-51.jpg,2020:08:21 12:44:51,NA,NA,NA
394,Pheno 5,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,17.9768,Austin Fife,open sun,NA,./5-2020-08-21-12-45-02.jpg,2020:08:21 12:45:02,NA,NA,NA
395,Pheno 6,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,14.3074,Austin Fife,open sun,NA,./6-2020-08-21-12-45-13.jpg,2020:08:21 12:45:13,NA,NA,NA
396,Pheno 7,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,15.4349,Austin Fife,open sun,NA,./7-2020-08-21-12-45-30.jpg,2020:08:21 12:45:30,NA,NA,NA
397,Pheno 8,2020-08-21T00:00:00Z,5,0,NA,KO,No,NA,Tallahassee,FL,Leon,16.6887,Austin Fife,open sun,NA,./8-2020-08-21-12-45-42.jpg,2020:08:21 12:45:42,NA,NA,NA
398,Pheno 9,2020-08-21T00:00:00Z,1,0,NA,KO,No,NA,Tallahassee,FL,Leon,16.5888,Austin Fife,open sun,NA,./9-2020-08-21-12-45-56.jpg,2020:08:21 12:45:56,NA,NA,NA
399,Pheno 10,2020-08-21T00:00:00Z,2,0,NA,KO,No,NA,Tallahassee,FL,Leon,16.4145,Austin Fife,open sun,NA,./10-2020-08-21-12-46-11.jpg,2020:08:21 12:46:11,NA,NA,NA
400,Pheno 11,2020-08-21T00:00:00Z,3,0,NA,KO,No,NA,Tallahassee,FL,Leon,14.0104,Austin Fife,open sun,NA,./11-2020-08-21-12-46-48.jpg,2020:08:21 12:46:48,NA,NA,NA
401,Pheno 12,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,14.4156,Austin Fife,open sun,NA,./12-2020-08-21-12-46-58.jpg,2020:08:21 12:46:58,NA,NA,NA
402,Pheno 13,2020-08-21T00:00:00Z,14,0,NA,KO,No,NA,Tallahassee,FL,Leon,17.1178,Austin Fife,open sun,NA,./13-2020-08-21-12-47-12.jpg,2020:08:21 12:47:12,NA,NA,NA
403,Pheno 14,2020-08-21T00:00:00Z,12,0,NA,KO,No,NA,Tallahassee,FL,Leon,15.3613,Austin Fife,open sun,NA,./14-2020-08-21-12-47-27.jpg,2020:08:21 12:47:27,NA,NA,NA
404,Pheno 15,2020-08-21T00:00:00Z,3,0,NA,KO,No,NA,Tallahassee,FL,Leon,10.1604,Austin Fife,open sun,NA,./15-2020-08-21-12-48-20.jpg,2020:08:21 12:48:20,NA,NA,NA
405,Pheno 16,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,9.1908,Austin Fife,open sun,NA,./16-2020-08-21-12-48-30.jpg,2020:08:21 12:48:30,NA,NA,NA
406,Pheno 17,2020-08-21T00:00:00Z,1,1,NA,KO,No,NA,Tallahassee,FL,Leon,10.577,Austin Fife,open sun,NA,./17-2020-08-21-12-48-41.jpg,2020:08:21 12:48:41,NA,NA,NA
407,Pheno 18,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,8.9208,Austin Fife,open sun,NA,./18-2020-08-21-12-48-54.jpg,2020:08:21 12:48:54,NA,NA,NA
408,Pheno 19,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,7.3389,Austin Fife,open sun,NA,./19-2020-08-21-12-49-09.jpg,2020:08:21 12:49:09,NA,NA,NA
409,Pheno 20,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,5.3765,Austin Fife,open sun,NA,./20-2020-08-21-12-49-23.jpg,2020:08:21 12:49:23,NA,NA,NA
410,Pheno 21,2020-08-21T00:00:00Z,0,1,NA,KO,No,NA,Tallahassee,FL,Leon,9.2765,Austin Fife,open sun,NA,./21-2020-08-21-12-49-37.jpg,2020:08:21 12:49:37,NA,NA,NA
411,Pheno 22,2020-08-21T00:00:00Z,1,0,NA,KO,No,NA,Tallahassee,FL,Leon,6.2997,Austin Fife,open sun,NA,./22-2020-08-21-12-49-50.jpg,2020:08:21 12:49:50,NA,NA,NA
412,Pheno 23,2020-08-21T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,5.2943,Austin Fife,open sun,NA,./23-2020-08-21-12-50-05.jpg,2020:08:21 12:50:05,NA,NA,NA
413,Pheno 24,2020-08-21T00:00:00Z,2,5,NA,KO,No,NA,Tallahassee,FL,Leon,11.0329,Austin Fife,open sun,NA,./24-2020-08-21-12-50-21.jpg,2020:08:21 12:50:21,NA,NA,NA
414,Pheno 1,2020-10-06T00:00:00Z,4,0,NA,KO,No,NA,Tallahassee,FL,Leon,10.7206,Austin Fife,open sun,NA,./1-2020-10-06-14-19-48.jpg,2020:10:06 14:19:48,-84.3073808333333,30.4450677777778,30.4450677777778 -84.3073808333333
415,Pheno 2,2020-10-06T00:00:00Z,2,0,NA,KO,No,NA,Tallahassee,FL,Leon,7.3801,Austin Fife,open sun,NA,./2-2020-10-06-14-19-58.jpg,2020:10:06 14:19:58,-84.3073658333333,30.4451077777778,30.4451077777778 -84.3073658333333
416,Pheno 3,2020-10-06T00:00:00Z,3,0,NA,KO,No,NA,Tallahassee,FL,Leon,16.7215,Austin Fife,open sun,NA,./3-2020-10-06-14-20-06.jpg,2020:10:06 14:20:06,-84.307355,30.4451538888889,30.4451538888889 -84.307355
417,Pheno 4,2020-10-06T00:00:00Z,3,0,NA,KO,No,NA,Tallahassee,FL,Leon,12.2313,Austin Fife,open sun,NA,./4-2020-10-06-14-20-14.jpg,2020:10:06 14:20:14,-84.3073847222222,30.4451977777778,30.4451977777778 -84.3073847222222
418,Pheno 5,2020-10-06T00:00:00Z,3,0,NA,KO,No,NA,Tallahassee,FL,Leon,15.4398,Austin Fife,open sun,NA,./5-2020-10-06-14-20-22.jpg,2020:10:06 14:20:22,-84.30731,30.4451708333333,30.4451708333333 -84.30731
